,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,380005,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380005,4,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380007,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380029,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380030,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380030,17,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,380030,99,6,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
3,380030,127,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380032,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380033,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380043,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380043,3,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380049,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380049,7,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380051,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380052,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380053,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380056,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380066,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380074,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380074,9,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380115,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380115,337,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,380115,378,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
3,380115,578,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380195,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380197,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380235,1,7,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380235,3,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380236,1,9,32.0,HLT_PFJet320_v27/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380306,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380306,3,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380308,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380309,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380309,7,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380310,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380346,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380346,155,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,380346,175,4,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
3,380346,187,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380348,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
